title,url,status,local_path,sha256,note
270-ФЗ Garant base full,https://base.garant.ru/412422478/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/001_270-ФЗ_Garant_base_full_base.garant.ru_412422478.html,03ccd9e2c3aa64b6280a473fed441fe99b97ca8a904d56dc5d0fd4648cf18c8e,bytes=74420
270-ФЗ Garant Prime full,https://www.garant.ru/products/ipo/prime/doc/412322478/,blocked_or_challenge,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/002_270-ФЗ_Garant_Prime_full_www.garant.ru_products_ipo_prime_doc_412322478.html,236e1f7adc9a1146ce1059a532d313bbaec5b2fc285e9640e83e42205b316e92,"Downloaded challenge/stub, not usable content; kept for forensic trace"
270-ФЗ Glavbukh full,https://www.glavbukh.ru/npd/edoc/99_1313576018,failed_curl_47,,,"   0     0      0      0 --:--:--  0:00:21 --:--:--     0 
  0     0    0     0    0     0      0      0 --:--:--  0:00:22 --:--:--     0 
100   142  100   142    0     0      6      0  0:00:23  0:00:22  0:00:01     6
100   142  100   142    0     0      6      0  0:00:23  0:00:22  0:00:01     0 
  0     0    0     0    0     0      0      0 --:--:--  0:00:22 --:--:--     0 
  0     0    0     0    0     0      0      0 --:--:--  0:00:23 --:--:--     0 curl: (47) Maximum (50) redirects followed "
281-ФЗ Alta full,https://www.alta.ru/tamdoc/25fz0281/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/004_281-ФЗ_Alta_full_www.alta.ru_tamdoc_25fz0281.html,454a59d8f6202eddf40f2fb0b559f230221a7580658942a501f90699a8e6fadd,bytes=134331
281-ФЗ V2B full,https://www.v2b.ru/documents/federalnyy-zakon-ot-31-07-2025-281-fz/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/005_281-ФЗ_V2B_full_www.v2b.ru_documents_federalnyy-zakon-ot-31-07-2025-281-fz.html,1005303ad4e78a04bf15c71e23a3cafbabc8d8c84c60d0c2d0df9308f922d61e,bytes=99136
281-ФЗ hub.zlonov full,https://hub.zlonov.ru/laws/%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D1%8B/281-%D0%A4%D0%97-%D0%BE%D1%82-31.07.2025,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/006_281-ФЗ_hub.zlonov_full_hub.zlonov.ru_laws_D0_A4_D0_B5_D0_B4_D0_B5_D1_80_D0_B0_D0_BB_D1_8C_D0_BD_D1_8B_D0_B5-_D0_B7_D0_B0_D0_BA_D0_BE_D0_BD_D1_8B_281-_D0_A4_D0_97-_D0_BE_D1_8.2025,9b91af697ddff02d0765f514381b34be41552f146861c62f912c680de9f58b1d,bytes=23631
ПП РФ 1510 Consultant full,https://www.consultant.ru/document/cons_doc_LAW_490324/92d969e26a4326c5d02fa79b8f9cf4994ee5633b/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/007_ПП_РФ_1510_Consultant_full_www.consultant.ru_document_cons_doc_LAW_490324_92d969e26a4326c5d02fa79b8f9cf4994ee5633b.html,6478a8d595b33154528a918f5c5e94a943e376f7e41e3e5d122da3fa66d74983,bytes=76618
ПП РФ 1510 Government docs all,http://government.ru/docs/all/156130/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/008_ПП_РФ_1510_Government_docs_all_government.ru_docs_all_156130.html,2b241e99debe018689faa662d4c2085c9cf3ea37f7dbd66de9bca29578562ae0,bytes=120663
ПП РФ 2573 Paragraph,https://prg.kz/document?doc_id=34075597,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/009_ПП_РФ_2573_Paragraph_prg.kz_document.html,c1beb92cd4295b86c15641b2ccc00838fe412b02c8300d4de23ffba6419ace02,bytes=224808
ПП РФ 2573 Paragraph alternate,https://prg.kz/document/?doc_id=34377785,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/010_ПП_РФ_2573_Paragraph_alternate_prg.kz_document.html,832799af314aa6c2356e42a310e1be0c381222ce966a1b8d27249e49f8ff0c1f,bytes=275036
ПП РФ 2573 official block listing,https://publication.pravo.gov.ru/documents/block/government?index=473,failed_curl_28,,,"  0
  0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0 curl: (28) Failed to connect to publication.pravo.gov.ru port 443 after 8005 ms: Timeout was reached "
Минэк migration page webcache alternative 1,https://www.economy.gov.ru/material/departments/d04/migracionnaya_politika/,failed_curl_28,,,":--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0 curl: (28) Failed to connect to www.economy.gov.ru port 443 after 8014 ms: Timeout was reached "
Минэк migration page webcache alternative 2,https://www.economy.gov.ru/material/directions/investicionnaya_deyatelnost/migracionnaya_politika/,failed_curl_28,,,":--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0 curl: (28) Failed to connect to www.economy.gov.ru port 443 after 8005 ms: Timeout was reached "
ЕЭК трудовая миграция page,https://eec.eaeunion.org/comission/department/migration/tm/,downloaded,/Users/marklindgreen/Downloads/migration_v7_evidence/06_исходные_НПА_и_forensic_snapshot/downloaded_sources/external_fallbacks/014_ЕЭК_трудовая_миграция_page_eec.eaeunion.org_comission_department_migration_tm.html,00916d5df39d1dc17ce53041f5c79cdede819494c05558edaa0220118b1373b9,bytes=95541
