n;rel;bytes;sha256;chars
1;MANIFEST.csv;24037;3d28c446350037aec2f5dea5ff0b54121899de3c38a646dd64ed46582e63fb03;20900
2;MANIFEST.md;16093;4dafc05bfcf469f4a5a45764e890969d22fbe51e51f787d1a4e343afefbd407f;14717
3;SOURCES_COVERAGE.md;1273;14622cf3b49e3e276c3b7f82d0b82e17677fe1423d85d8efe1a84070d23f6225;1198
4;FALLBACK_COVERAGE.md;1610;a03d2b11b80d564bf1d8836320bb77cfcac3581f2abe825ff905ad50f38f06e3;1485
5;FALLBACK_MANIFEST.csv;6749;84cdb04a04405169f69f1df091fdcb849615ffabf15157d36943adf8d12fd4d4;6507
6;WHAT_REMAINS_AFTER_DEEP_SEARCH.md;2760;708be33183738328d09495debf01bdce622020aa02313421791d9184d44ca79b;2665
7;FALLBACK_MANIFEST.md;7336;1c1b6f641601fa2d7fedba0a8cabb26d26fba5a691edac6e251f2b02cf0495c5;7109
8;FALLBACK_ROUND2_MANIFEST.csv;5423;d4b5129f446be06316e4ec9234a23c0cdd6b6890c9ff8f411672db3465e7e6d9;5167
9;FALLBACK_ROUND2_MANIFEST.md;6026;7ce8c1c0523894f6bb045ab1bae06810359765829bd1dc93b87b08a4404e2fbd;5783
10;FALLBACK_ROUND3_MINEK_MANIFEST.csv;2100;307713e92d00595dd936dec86d83794165a9ab8abfbeea7279fdab5ae5bcc95e;1996
11;FALLBACK_ROUND3_MINEK_MANIFEST.md;2349;5d5c5b2a219bf9b6cd297e3764fb1b5c2c7594cebd4f0d0756eb807908c766ec;2250
12;local_copies/114-ФЗ_релевантные_положения.txt;597;13cbf0a8333bc6ae849aa8d1d279182222a0ecdcaf0888c40d6364116819520e;357
13;local_copies/D18_Брошюра_Минэк_извлеченные_критерии_v7.txt;668;6d6271f27c15da53ecf82ca9684e9488b118bfe64c0b48942af1cd421b3172f3;388
14;local_copies/D21_ПП1510_снимок_релевантных_положений_v7.txt;759;bea9754afc06b026be2a86b055f5c75565581d84418f6efc2f4d062d80ae6da8;473
15;local_copies/D22_ПП1562_снимок_релевантных_положений_v7.txt;484;0c6f2c39cbe36cf2f9181499a985cb9bccad376d67bad1ec74940606c8086a05;338
16;local_copies/D23_ПП468_снимок_релевантных_положений_v7.txt;424;b93a6475910faa0e957441f9a01f84b59173fa0735cc4715a5af5ca65b4aa552;265
17;local_copies/D24_270ФЗ_снимок_релевантных_положений_v7.txt;504;3535d8b3cf9fd1edcec21ae865e50617153984b16bc10010956ec44201d6e565;349
18;local_copies/D25_281ФЗ_снимок_релевантных_положений_v7.txt;347;49b53db7510ebfb54eb9c8d80b33b6c09c80d01b1e1eebcccbf8256bdc34caa4;246
19;local_copies/D26_Договор_ЕАЭС_ст96_98_снимок_v7.txt;930;9b4d65f41a7d1fe8a886448cee17cee2f2da29e8854b2887456ff046a094ebeb;583
20;local_copies/Simplified_residence_permit_obtaining_process_brochure_ru_en_cn.pdf;2099190;375e944e2b3e5739b0d09c478e27657c5c5889f0f8939b3c62505ed10fc0dea1;20068
21;local_copies/Миграционная_политика_Министерство_экономического_развития_Российской.mht;2716451;4481546586d717e8c05e4aa3389e316c777ea5a7df8dae49fd5170fe2c89b800;180118
22;local_copies/Минэк_брошюра_тезисы.txt;503;2ab8d762a1f44b9f36331a04926944c06f3f9363694a091678a5c7b1d397a755;315
23;local_copies/Минэк_брошюра_упрощенное_ВНЖ_инвестору.pdf;2099190;375e944e2b3e5739b0d09c478e27657c5c5889f0f8939b3c62505ed10fc0dea1;20068
24;local_copies/Минэк_извлеченный_текст_v6.txt;20726;df5cc8dd1f5826f6fa06268af8e63f8610023f31b5d0c7d54dd59c339a9341a8;11514
25;local_copies/Минэк_локальный_HTML_снимок_v6.html;13200;f3a50406a15713d5712ce369a64a699988fbb38d4287d1835ca22767a16aba51;6900
26;local_copies/Минэк_локальный_PDF_снимок_v6.pdf;24257;f2465371c30d25f581e9fdcd56ac213581cbda048d40e18f3c7e630699604baf;66
27;local_copies/Минэк_оригинальный_MHT_пользователя.mht;2716451;4481546586d717e8c05e4aa3389e316c777ea5a7df8dae49fd5170fe2c89b800;180118
